"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"SL",2019-03-29,87.3,-2.105,5.8828,"Avisail Garcia",541645,543037,"field_out","hit_into_play",NA,NA,NA,NA,1,"Avisail Garcia flies out to center fielder George Springer.","R","R","R","TB","HOU","X",8,"fly_ball",0,1,2019,0.5339,-0.0055,-0.3353,3.2186,NA,NA,NA,0,6,"Bot",145.12,58.02,NA,NA,545358,NA,"190330_005752",3.1543,-127.0687,-0.2789,5.0637,24.9199,-32.4124,3.319,1.513,337,99.4,41.9,86.63,2763,5.751,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7482,0.082,0.163,0,1,0,0,3,47,2,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",1
"SL",2019-03-29,87.4,-2.0762,5.8347,"Avisail Garcia",541645,543037,NA,"swinging_strike",NA,NA,NA,NA,14,NA,"R","R","R","TB","HOU","S",NA,NA,0,0,2019,0.5815,0.1063,0.3796,0.7881,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005720",4.7004,-127.1533,-6.2261,5.3608,23.5433,-30.1018,3.549,1.627,NA,NA,NA,86.946,2605,5.796,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7034,NA,NA,NA,NA,NA,NA,NA,47,1,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"FF",2019-03-29,95.5,-1.9849,5.7508,"Yandy Diaz",650490,543037,"home_run","hit_into_play_score",NA,NA,NA,NA,5,"Yandy Diaz homers (1) on a line drive to center field.","R","R","R","TB","HOU","X",NA,"line_drive",2,0,2019,-0.821,1.5792,0.0242,2.4923,NA,NA,NA,0,6,"Bot",131.22,20.94,NA,NA,545358,NA,"190330_005632",7.149,-138.7245,-6.4453,-12.309,34.3664,-10.5425,3.549,1.627,420,112.2,17,95.14,2519,6.422,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.0778,0.797,1.127,2,1,0,3,6,46,3,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Strategic",1
"SL",2019-03-29,87.3,-1.9995,5.8613,"Yandy Diaz",650490,543037,NA,"ball",NA,NA,NA,NA,14,NA,"R","R","R","TB","HOU","B",NA,NA,1,0,2019,0.5384,0.2517,0.9838,1.2058,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005611",6.0414,-126.9825,-5.57,4.6617,23.2577,-28.6727,3.4279,1.5812,NA,NA,NA,86.948,2643,5.853,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6465,NA,NA,NA,NA,NA,NA,NA,46,2,"Slider",3,2,3,2,2,3,3,2,"Standard","Strategic",NA
"FF",2019-03-29,94.9,-1.9522,5.7782,"Yandy Diaz",650490,543037,NA,"ball",NA,NA,NA,NA,11,NA,"R","R","R","TB","HOU","B",NA,NA,0,0,2019,-0.795,1.6004,-0.2905,3.8835,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005546",6.1146,-137.9575,-2.779,-11.565,34.9425,-11.555,3.4357,1.589,NA,NA,NA,94.24,2580,6.274,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.2256,NA,NA,NA,NA,NA,NA,NA,46,1,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Strategic",NA
"CH",2019-03-29,87.3,-2.2179,5.6194,"Ji-Man Choi",596847,543037,"field_out","hit_into_play",NA,NA,NA,NA,7,"Ji-Man Choi grounds out to first baseman Yuli Gurriel.","R","L","R","TB","HOU","X",3,"ground_ball",0,0,2019,-1.2617,1.147,-0.4857,1.7329,NA,NA,502054,2,5,"Bot",156.79,167.42,NA,NA,545358,NA,"190330_004513",6.7562,-126.9356,-5.5468,-14.9968,25.7568,-18.8764,3.411,1.565,1,60.2,-58.5,87.295,1718,6.31,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.19,0.184,0.151,0,1,0,0,2,41,1,"Changeup",3,2,3,2,2,3,3,2,"Infield shift","Standard",0
"CH",2019-03-29,88.7,-1.9492,5.6167,"Tommy Pham",502054,543037,"field_error","hit_into_play_no_out",NA,NA,NA,NA,5,"Rays challenged (play at 1st), call on the field was overturned: Tommy Pham reaches on a missed catch error by first baseman Yuli Gurriel, assist to shortstop Aledmys Diaz.","R","R","R","TB","HOU","X",6,"ground_ball",2,2,2019,-1.1109,1.1415,0.2521,2.4147,NA,NA,NA,2,5,"Bot",110.15,155.3,NA,NA,545358,NA,"190330_004223",7.7771,-128.9774,-4.1827,-14.1583,27.5389,-18.6431,3.371,1.535,53,107.6,0.9,89.113,1790,6.646,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,53.8538,0.545,0.479,0.9,1,0,0,4,40,9,"Changeup",3,2,3,2,2,3,3,2,"Standard","Strategic",0
"CH",2019-03-29,88.1,-1.9861,5.591,"Tommy Pham",502054,543037,NA,"foul",NA,NA,NA,NA,4,NA,"R","R","R","TB","HOU","S",NA,NA,2,2,2019,-1.2832,1.1259,-0.73,2.1943,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_004152",5.736,-128.1771,-4.4922,-15.3666,26.951,-19.02,3.411,1.565,8,90.8,-16.4,88.243,1839,6.427,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.0724,NA,NA,NA,NA,NA,NA,NA,40,8,"Changeup",3,2,3,2,2,3,3,2,"Standard","Strategic",0
"SL",2019-03-29,89.7,-2.1106,5.8353,"Tommy Pham",502054,543037,NA,"foul",NA,NA,NA,NA,9,NA,"R","R","R","TB","HOU","S",NA,NA,2,2,2019,0.4425,0.2365,0.6871,1.789,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_004130",5.9522,-130.3917,-4.4712,3.7406,27.1672,-28.8137,3.411,1.565,258,81.9,36.1,89.099,2806,5.954,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.5454,NA,NA,NA,NA,NA,NA,NA,40,7,"Slider",3,2,3,2,2,3,3,2,"Standard","Standard",0
"SL",2019-03-29,88.3,-2.107,5.9071,"Tommy Pham",502054,543037,NA,"foul",NA,NA,NA,NA,9,NA,"R","R","R","TB","HOU","S",NA,NA,2,2,2019,0.6199,-0.1393,0.2942,2.0748,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_004100",4.5342,-128.4222,-2.896,5.7006,28.0791,-33.3027,3.411,1.565,NA,NA,NA,87.22,2739,5.761,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7385,NA,NA,NA,NA,NA,NA,NA,40,6,"Slider",3,2,3,2,2,3,3,2,"Standard","Strategic",NA
