"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"FF",2019-03-30,93.5,-2.247,5.8378,"J.D. Davis",605204,544931,NA,"ball",NA,NA,NA,NA,14,NA,"R","R","R","WSH","NYM","B",NA,NA,1,0,2019,-0.8151,1.1289,0.6101,1.2503,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185042",9.3327,-135.8207,-8.7489,-12.3333,28.3543,-16.133,3.5044,1.6082,NA,NA,NA,94.886,2165,7.085,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.4147,NA,NA,NA,NA,NA,NA,NA,47,2,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",NA
"FF",2019-03-30,92.1,-2.2014,5.8479,"J.D. Davis",605204,544931,NA,"ball",NA,NA,NA,NA,13,NA,"R","R","R","WSH","NYM","B",NA,NA,0,0,2019,-0.9847,1.0927,-0.0577,1.4003,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185024",7.8172,-133.9268,-8.0666,-13.9641,28.8594,-16.9718,3.4554,1.601,NA,NA,NA,93.882,2139,7.369,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.1302,NA,NA,NA,NA,NA,NA,NA,47,1,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",NA
"FF",2019-03-30,91.7,-2.1655,5.8729,"Amed Rosario",642708,544931,"field_out","hit_into_play",NA,NA,NA,NA,8,"Amed Rosario grounds out, shortstop Trea Turner to first baseman Ryan Zimmerman.","R","R","R","WSH","NYM","X",6,"ground_ball",0,0,2019,-0.7641,1.2756,0.2631,1.7943,NA,NA,NA,0,6,"Top",112.86,146.13,NA,NA,435559,NA,"190330_184950",7.9519,-133.324,-7.424,-10.978,26.1743,-15.1559,3.467,1.589,75,107.6,2.8,93.335,2157,7.108,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.3917,0.568,0.514,0,1,0,0,4,46,1,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",0
"CU",2019-03-30,79.8,-2.3125,5.783,"Jeff McNeil",643446,544931,"field_out","hit_into_play",NA,NA,NA,NA,8,"Jeff McNeil flies out to left fielder Juan Soto.","R","L","R","WSH","NYM","X",7,"fly_ball",2,1,2019,0.825,-0.848,-0.159,1.8649,NA,NA,NA,2,5,"Top",71.72,90.25,NA,NA,435559,NA,"190330_183525",3.1934,-116.258,-0.2905,6.9206,21.9609,-40.0596,3.467,1.589,316,94.4,41.9,80.232,2564,6.539,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.96,0.021,0.039,0,1,0,0,3,41,4,"Curveball",3,4,4,3,4,3,4,3,"Standard","Standard",0
"SL",2019-03-30,87.6,-2.2753,5.76,"Jeff McNeil",643446,544931,NA,"ball",NA,NA,NA,NA,14,NA,"R","L","R","WSH","NYM","B",NA,NA,1,1,2019,-0.0386,0.3804,1.2505,1.5095,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183450",8.6996,-127.5036,-5.063,-1.9965,22.9041,-27.1551,3.469,1.6303,NA,NA,NA,89.086,2232,6.915,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.585,NA,NA,NA,NA,NA,NA,NA,41,3,"Slider",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"CH",2019-03-30,86.7,-2.2401,5.8918,"Jeff McNeil",643446,544931,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","WSH","NYM","B",NA,NA,0,1,2019,-1.1928,0.4796,-0.8166,1.05,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183431",5.9788,-126.2487,-6.5174,-14.2399,23.6579,-25.8446,3.4761,1.6446,NA,NA,NA,88.164,1511,6.99,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.5095,NA,NA,NA,NA,NA,NA,NA,41,2,"Changeup",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"CU",2019-03-30,79.7,-2.3273,5.8516,"Jeff McNeil",643446,544931,NA,"foul",NA,NA,NA,NA,7,NA,"R","L","R","WSH","NYM","S",NA,NA,0,0,2019,0.786,-0.7711,-0.7533,1.6993,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183408",1.9792,-116.2133,-0.9238,6.8353,22.3867,-39.2728,3.411,1.565,NA,NA,NA,80.511,2586,6.797,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.7026,NA,NA,NA,NA,NA,NA,NA,41,1,"Curveball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FT",2019-03-30,92.2,-2.1218,5.8911,"Wilson Ramos",467092,544931,"field_out","hit_into_play",NA,NA,NA,NA,8,"Wilson Ramos grounds out, second baseman Brian Dozier to first baseman Ryan Zimmerman.","R","R","R","WSH","NYM","X",4,"ground_ball",0,0,2019,-1.2229,0.9514,-0.2625,1.7777,NA,NA,NA,1,5,"Top",139.28,144.09,NA,NA,435559,NA,"190330_183327",7.5101,-134.0611,-6.8229,-16.6096,27.2496,-19.2293,3.411,1.565,133,100,6.7,93.345,2009,6.874,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.625,0.605,0.556,0,1,0,0,4,40,1,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",0
"FF",2019-03-30,92.8,-2.1934,5.8593,"Michael Conforto",624424,544931,"field_out","hit_into_play",NA,NA,NA,NA,5,"Michael Conforto grounds out, second baseman Brian Dozier to first baseman Ryan Zimmerman.","R","L","R","WSH","NYM","X",4,"ground_ball",1,2,2019,-0.8558,1.1098,0.0072,2.572,NA,NA,NA,0,5,"Top",152.99,154.25,NA,NA,435559,NA,"190330_183247",7.5889,-135.0681,-5.175,-12.1796,26.4988,-17.4705,3.411,1.565,3,87.1,-36.6,93.944,2079,6.728,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.772,0.042,0.041,0,1,0,0,2,39,4,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard",0
"FT",2019-03-30,92.2,-2.2423,5.8153,"Michael Conforto",624424,544931,NA,"ball",NA,NA,NA,NA,11,NA,"R","L","R","WSH","NYM","B",NA,NA,0,2,2019,-1.0791,1.0906,-1.8427,4.0077,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183225",3.4519,-134.4226,-1.2573,-14.0966,27.0258,-18.5487,3.108,1.4423,NA,NA,NA,93.678,2069,6.893,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.6061,NA,NA,NA,NA,NA,NA,NA,39,3,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"CH",2019-03-30,85.4,-2.3369,5.8825,"Michael Conforto",624424,544931,NA,"swinging_strike",NA,NA,NA,NA,13,NA,"R","L","R","WSH","NYM","S",NA,NA,0,1,2019,-1.2003,0.2482,-0.7461,0.8728,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183203",6.3023,-124.3451,-6.1421,-13.9686,23.1279,-28.5538,3.411,1.565,NA,NA,NA,86.797,1648,6.983,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.5167,NA,NA,NA,NA,NA,NA,NA,39,2,"Changeup",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"CU",2019-03-30,79.7,-2.4014,5.8596,"Michael Conforto",624424,544931,NA,"called_strike",NA,NA,NA,NA,9,NA,"R","L","R","WSH","NYM","S",NA,NA,0,0,2019,1.0269,-0.3582,0.5564,1.8538,NA,NA,NA,0,5,"Top",NA,NA,NA,NA,435559,NA,"190330_183145",4.577,-116.0039,-1.4067,8.4633,21.1958,-35.3685,3.0741,1.3157,NA,NA,NA,79.947,2622,6.394,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,54.1052,NA,NA,NA,NA,NA,NA,NA,39,1,"Curveball",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"CH",2019-03-30,85.6,-2.3583,5.7925,"Robinson Cano",429664,544931,"field_out","hit_into_play",NA,NA,NA,NA,7,"Robinson Cano lines out to right fielder Adam Eaton.","R","L","R","WSH","NYM","X",9,"line_drive",2,0,2019,-1.0794,0.5102,-0.6128,1.9743,NA,NA,607043,2,4,"Top",163.17,56.25,NA,NA,435559,NA,"190330_182257",6.5414,-124.8367,-4.0058,-12.9826,21.3801,-26.0157,3.411,1.565,348,93.3,26.7,88.17,1815,7.447,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.0528,0.163,0.275,0,1,0,0,3,35,3,"Changeup",3,4,4,3,4,3,4,3,"Infield shift","Standard",0
"FF",2019-03-30,92.5,-2.2615,5.7722,"Robinson Cano",429664,544931,NA,"ball",NA,NA,NA,NA,14,NA,"R","L","R","WSH","NYM","B",NA,NA,1,0,2019,-0.721,1.2348,1.2038,1.8305,NA,NA,607043,2,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182225",10.4986,-134.3047,-7.0412,-10.9696,26.3343,-15.7067,3.53,1.6362,NA,NA,NA,93.447,2056,6.758,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.7418,NA,NA,NA,NA,NA,NA,NA,35,2,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"FT",2019-03-30,93.1,-2.3423,5.814,"Robinson Cano",429664,544931,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","WSH","NYM","B",NA,NA,0,0,2019,-1.0934,0.8896,-0.7272,1.4041,NA,NA,607043,2,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182203",6.7244,-135.4917,-7.7444,-15.268,25.965,-19.4675,3.5807,1.6218,NA,NA,NA,95.077,2060,7.156,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.3436,NA,NA,NA,NA,NA,NA,NA,35,1,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"CH",2019-03-30,86.4,-2.327,5.7764,"Pete Alonso",624413,544931,"strikeout","swinging_strike_blocked",NA,NA,NA,NA,14,"Pete Alonso strikes out swinging.","R","R","R","WSH","NYM","S",2,NA,1,2,2019,-1.2873,0.2308,0.3968,0.3641,NA,NA,607043,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182123",9.2109,-125.5391,-7.2413,-15.5784,22.7037,-28.5427,3.49,1.601,NA,NA,NA,87.384,1613,6.754,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.7457,NA,NA,0,1,0,0,NA,34,4,"Changeup",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FT",2019-03-30,91.9,-2.3323,5.7995,"Pete Alonso",624413,544931,NA,"called_strike",NA,NA,NA,NA,7,NA,"R","R","R","WSH","NYM","S",NA,NA,1,1,2019,-1.2576,0.7978,-0.8282,1.8807,NA,NA,607043,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182101",6.8202,-133.8608,-6.0773,-17.2053,26.7275,-21.0529,3.3536,1.5723,NA,NA,NA,94.391,1926,7.524,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,52.976,NA,NA,NA,NA,NA,NA,NA,34,3,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FT",2019-03-30,91.4,-2.3127,5.8975,"Pete Alonso",624413,544931,NA,"ball",NA,NA,NA,NA,11,NA,"R","R","R","WSH","NYM","B",NA,NA,0,1,2019,-1.1834,0.8361,-1.284,3.3291,NA,NA,607043,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182043",5.2973,-133.3152,-2.5721,-15.6038,25.2192,-21.5271,3.4183,1.5723,NA,NA,NA,93.393,1969,7.072,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.4279,NA,NA,NA,NA,NA,NA,NA,34,2,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FT",2019-03-30,91.7,-2.3356,5.8541,"Pete Alonso",624413,544931,NA,"foul",NA,NA,NA,NA,4,NA,"R","R","R","WSH","NYM","S",NA,NA,0,0,2019,-1.3113,0.8467,-0.7817,2.3738,NA,NA,607043,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_182014",6.8422,-133.3957,-4.811,-17.3,28.9689,-21.1183,3.49,1.601,NA,NA,NA,92.271,1952,6.67,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.8296,NA,NA,NA,NA,NA,NA,NA,34,1,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"CH",2019-03-30,87.5,-2.2224,5.7652,"Brandon Nimmo",607043,544931,"walk","ball",NA,NA,NA,NA,14,"Brandon Nimmo walks.","R","L","R","WSH","NYM","B",NA,NA,3,2,2019,-1.3278,0.5541,0.5736,0.8958,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_181939",9.6455,-127.1313,-6.8607,-16.6171,24.3404,-24.8688,3.3159,1.5865,NA,NA,NA,88.657,1705,6.945,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.5547,NA,NA,0.7,1,0,0,NA,33,6,"Changeup",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
"FF",2019-03-30,92.5,-2.2461,5.8716,"Brandon Nimmo",607043,544931,NA,"ball",NA,NA,NA,NA,12,NA,"R","L","R","WSH","NYM","B",NA,NA,2,2,2019,-0.6422,1.2159,1.2303,3.3798,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,435559,NA,"190330_181916",10.3704,-134.4501,-3.2522,-10.1396,28.9164,-16.6914,3.2794,1.5792,NA,NA,NA,93.255,2038,6.78,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.7199,NA,NA,NA,NA,NA,NA,NA,33,5,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard",NA
